P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions,,,,,,
,,,,,,,,,,,RP,Kelvin Herrera (6482795),Kelvin Herrera,6482795,4000,NYM@KC 04:15PM ET,KC
,,,,,,,,,,,RP,Jenrry Mejía (6482796),Jenrry Mejía,6482796,4000,NYM@KC 04:15PM ET,NYM
,,,,,,,,,,,RP,Bryan Shaw (6482830),Bryan Shaw,6482830,4000,Bos@Cle 01:10PM ET,Cle
,,,,,,,,,,,RP,Jeurys Familia (6482797),Jeurys Familia,6482797,4000,NYM@KC 04:15PM ET,NYM
,,,,,,,,,,,RP,Koji Uehara (6482831),Koji Uehara,6482831,4000,Bos@Cle 01:10PM ET,Bos
,,,,,,,,,,,RP,Junichi Tazawa (6482832),Junichi Tazawa,6482832,4000,Bos@Cle 01:10PM ET,Bos
,,,,,,,,,,,SP,Joe Kelly (6482779),Joe Kelly,6482779,4000,Bos@Cle 01:10PM ET,Bos
,,,,,,,,,,,RP,Bryan Mitchell (6482812),Bryan Mitchell,6482812,4000,Hou@NYY 01:05PM ET,NYY
,,,,,,,,,,,RP,Diego Moreno (6482813),Diego Moreno,6482813,4000,Hou@NYY 01:05PM ET,NYY
,,,,,,,,,,,RP,Ken Giles (6482814),Ken Giles,6482814,4000,Hou@NYY 01:05PM ET,Hou
,,,,,,,,,,,RP,Josh Edgin (6482798),Josh Edgin,6482798,4000,NYM@KC 04:15PM ET,NYM
,,,,,,,,,,,RP,Kirby Yates (6482815),Kirby Yates,6482815,4000,Hou@NYY 01:05PM ET,NYY
,,,,,,,,,,,RP,Luis Cessa (6482816),Luis Cessa,6482816,4000,Hou@NYY 01:05PM ET,NYY
,,,,,,,,,,,RP,Hansel Robles (6482799),Hansel Robles,6482799,4000,NYM@KC 04:15PM ET,NYM
,,,,,,,,,,,RP,Aroldis Chapman (6482817),Aroldis Chapman,6482817,4000,Hou@NYY 01:05PM ET,NYY
,,,,,,,,,,,RP,Matt Barnes (6482833),Matt Barnes,6482833,4000,Bos@Cle 01:10PM ET,Bos
,,,,,,,,,,,RP,Erik Goeddel (6482800),Erik Goeddel,6482800,4000,NYM@KC 04:15PM ET,NYM
,,,,,,,,,,,RP,Logan Verrett (6482801),Logan Verrett,6482801,4000,NYM@KC 04:15PM ET,NYM
,,,,,,,,,,,RP,Addison Reed (6482802),Addison Reed,6482802,4000,NYM@KC 04:15PM ET,NYM
,,,,,,,,,,,RP,Johnny Barbato (6482818),Johnny Barbato,6482818,4000,Hou@NYY 01:05PM ET,NYY
,,,,,,,,,,,SP,Domingo Germán (6482765),Domingo Germán,6482765,4000,Hou@NYY 01:05PM ET,NYY
,,,,,,,,,,,RP,Chasen Shreve (6482819),Chasen Shreve,6482819,4000,Hou@NYY 01:05PM ET,NYY
,,,,,,,,,,,RP,Cody Allen (6482834),Cody Allen,6482834,4000,Bos@Cle 01:10PM ET,Cle
,,,,,,,,,,,RP,Michael Feliz (6482820),Michael Feliz,6482820,4000,Hou@NYY 01:05PM ET,Hou
,,,,,,,,,,,RP,Noé Ramírez (6482835),Noé Ramírez,6482835,4000,Bos@Cle 01:10PM ET,Bos
,,,,,,,,,,,RP,Carson Smith (6482836),Carson Smith,6482836,4000,Bos@Cle 01:10PM ET,Bos
,,,,,,,,,,,1B,Mark Teixeira (6482854),Mark Teixeira,6482854,3900,Hou@NYY 01:05PM ET,NYY
,,,,,,,,,,,1B,Kendrys Morales (6482851),Kendrys Morales,6482851,3900,NYM@KC 04:15PM ET,KC
,,,,,,,,,,,C,Travis d'Arnaud (6482838),Travis d'Arnaud,6482838,3900,NYM@KC 04:15PM ET,NYM
